Year,Month,sm_5cm,sm_20cm,sm_60cm
2002,January,0.205,0.208,0.136
2002,January,0.210,0.210,0.136
2002,January,0.202,0.208,0.136
2002,January,0.224,0.210,0.137
2002,January,0.227,0.211,0.137
2002,January,0.224,0.214,0.137
2002,January,0.220,0.213,0.137
2002,January,0.222,0.214,0.138
2002,January,0.220,0.215,0.138
2002,January,0.216,0.215,0.138
2002,January,0.214,0.215,0.139
2002,January,0.209,0.212,0.139
2002,January,0.211,0.215,0.140
2002,January,0.207,0.214,0.140
2002,January,0.204,0.211,0.140
2002,January,0.204,0.212,0.141
2002,January,0.203,0.213,0.141
2002,January,0.197,0.209,0.141
2002,January,0.196,0.208,0.142
2002,January,0.194,0.207,0.142
2002,January,0.191,0.205,0.141
2002,January,0.191,0.206,0.142
2002,January,0.188,0.206,0.142
2002,January,0.186,0.206,0.144
2002,January,0.180,0.202,0.143
2002,January,0.181,0.200,0.143
2002,January,0.181,0.202,0.144
2002,January,0.179,0.200,0.144
2002,January,0.180,0.202,0.145
2002,January,0.241,0.199,0.145
2002,January,0.285,0.196,0.146
2002,February,0.255,0.200,0.145
2002,February,0.248,0.203,0.145
2002,February,0.248,0.206,0.145
2002,February,0.241,0.207,0.146
2002,February,0.324,0.218,0.146
2002,February,0.316,0.256,0.146
2002,February,0.287,0.251,0.146
2002,February,0.277,0.250,0.146
2002,February,0.266,0.246,0.146
2002,February,0.255,0.242,0.146
2002,February,0.246,0.239,0.146
2002,February,0.246,0.238,0.147
2002,February,0.243,0.237,0.147
2002,February,0.238,0.233,0.146
2002,February,0.239,0.235,0.148
2002,February,0.233,0.231,0.148
2002,February,0.230,0.230,0.148
2002,February,0.229,0.229,0.149
2002,February,0.224,0.227,0.149
2002,February,0.219,0.224,0.150
2002,February,0.216,0.223,0.151
2002,February,0.210,0.217,0.151
2002,February,0.210,0.217,0.151
2002,February,0.204,0.213,0.152
2002,February,0.197,0.209,0.153
2002,February,0.189,0.205,0.153
2002,February,0.192,0.206,0.154
2002,February,0.190,0.204,0.153
2002,March,0.189,0.202,0.154
2002,March,0.185,0.202,0.155
2002,March,0.176,0.197,0.153
